Portuguese,French,Italian,Spanish,Catalan,Provencal,Ladin,Sardinian,Romanian,German,Dutch,Afrikaans,English,Icelandic,Norwegian,Swedish,Faroese,Danish,Breton,Welsh,Irish,Bulgarian,Slovenian,Serbo-Croatian,Russian,Belarusian,Ukrainian,Czech,Slovak,Polish,Lithuanian,Latvian,Romani,Singhalese,Kashmiri,Khaskura,Nepali,Bengali,Lahnda,Panjabi,Hindi,Marathi,Gujarati,Pashto,Persian,Tajik,Baluchi,Albanian,Armenian,Greek,,Maranao,Mansaka,Hanunoo,Tagalog,Cebuano,,Javanese,Bali,Sasak,Sunda,Iban,Indonesian
GRANDE,GRAND,GRANDE,GRANDE,GRAN,GROS,GRAND,MANNU,MARE,GROSS,GROOT,GROOT,BIG,STOR,STOR,GROV,STORUR,STOR,BRAS,MAWR,MOR,GOLJAMO,VELIKA,VELIK,BOLSOJ,VJALIKI,VELYKYJ,VELKY,VELKY,WIELKI,DIDELIS,LIELS,BARO,LOKU,BODU,THULO,THULO,BORO,WEDDA,VEDDA,BERA,MOTHA,MOTU,LOJ,BOZORG,KALON,MAZAAN,I MATH,MEC,MEGHALOS,,DAKOLAQ,DAKURAQ,DAKA,MALAKI,DAKU,,GEDE,GEDE,BELEQ,GEDE,BESAI,BESAR
AVE,OISEAU,UCCELLO,AVE,AUCELL,AUCEU,UTSCHE,PILLONI,PASARE,VOGEL,VOGEL,VOEL,BIRD,FUGL,FUGL,FAGEL,FUGLUR,FUGL,LABOUS,ADERYN,EAN,PTICA,TICK,PTICA,PTICA,PTUSKA,PTAX,PTAK,VTAK,PTAK,PAUKSTIS,PUTNS,CIRIKLI,KURULLA,JANAWAR,CHARA,CARO,PAKHI,PERINDA,PENCHI,PEKSI,PEKSI,PENKHI,MURGE,MORGH,PARRANDA,MURGH,ZOK,T RC UN,PULI,,PAPANOK,LANGGAM,MANUK,IBON,LANGGAM,,MANUK,KEDIS,KEMANUKAN,MANUK,BURON,BURUNG
MORDER,MORDRE,MORDERE,MORDER,MOSSEGAR,MORDRE,MORDER,MUSSIAI,A MUSCA,BEISSEN,BIJTEN,BYT,BITE,BITA,BITE,BITA,BITA,BIDE,KREGIN,CNOI,GREIM DO BHAINT AS,XAPE,GRIZT,UGRISTI,KUSAT,KUSAC,KUSATY,KOUSATI,KUSNUT,GRYZC,KASTI,KOST,DANDALAV,HAPANAWA,TSAPUN,TOKNU,TOKNU,CIBONO,KETTEN,VEDDENA,KHANA,CAVNE,KERERWU,CICEL,DANDAN GEREFTAN,GAZIDAN,WARAGH,KAFSON,KCEL,DHANGO,,KEKEB,KAGAT,KAGAT,KUMUGAT,MOPAAK,,NOKOT,NYEGUT,GIGIT,NGEGEL,GIGIT,GIGIT
NEGRO,NOIR,NERO,NEGRO,NEGRE,NEGRE,MOR,NIEDDU,NEGRU,SCHWARZ,ZWART,SWART,BLACK,SVARTR,SORT,SVART,SVARTUR,SORT,DU,DU,DUBH,CERNO,CRNU,CRN,CERNYJ,CORNY,CORNYJ,CERNY,CIERNY,CZARNY,JUODAS,MELNS,KALO,KALU,KALA,KALO,KALO,KALO,KALA,KALA,KALA,KALA,KALU,TOR,SIAH,SIEX,SIYAH,IZI,SEW,MAVROS,,MAITEM,MAQITEM,AGIWAN,ITIM,ITUM,,IREN,BADENG,BIDEN,HIDEUNG,ITAM,HITAM
SANGUE,SANG,SANGUE,SANGRE,SANCH,SANG,SAUNG,SANGUINI,SINGE,BLUT,BLOED,BLOED,BLOOD,BLOO,BLOD,BLOD,BLOD,BLOD,GWAD,GWAED,FUIL,KREV,KRI,KRV,KROV,KROW,KROV,KREV,KRV,KREW,KRAUJAS,ASINIS,RAT,LE,RATH,RAGAT,KHUN,ROKTO,XUN,LEU,REKT,REKTE,LOHI,VINA,KHUN,XUN,HON,GAK,ARYUN,EMA,,ROGOQ,DUGUQ,DUGU,DUGO,DUGOE,,GETIH,GETIH,DARAQ,GETIH,DARAH,DARAH
ASSOPRAR,SOUFFLER,SOFFIARE,SOPLAR,BUFAR,BOUFA,BOFFER,SULAI,A SUFLA,WEHEN,BLAZEN,WAAI,BLOW,BLASA,BLASE,BLASA,BLASA,BLAESE,CHWEZHAN,CHWYTHU,SEIDEADH,DUXA,PIHASAPA,DUVATI,DUT,DZMUC,VIJATY,FOUKATI,DUT,DAC,PUSTI,PUST,PHURDAV,HAMANAVA,PHOKUN,PHUKNU,BAHANU,BOOA,CELLEN,VEGNA,BEHNA,VAHNE,FUKWU,LEGEDEL,VAZIDAN,VAZIDAN,KASHAGH,FRYN,P C EL,FISA,,SAGOSOB,QUYUP,MAGUYUP,UMIHIP,MOHANGIN,,SUMILIR,NYIRSIR,NIUP,NIUP,TIUP,BERTIUP
OSSO,OS,OSSO,HUESO,OS,OS,OSS,OSSU,OS,KNOCHEN,BEEN,BEEN,BONE,BEIN,BEN,BEN,BEIN,BEN,ASKORN,ASGWRN,CNAMH,KOST,KUST,KOST,KOST,KOSTKA,KIST,KOST,KOST,KOSC,KAULAS,KAULS,KOKALO,KATUWA,ADIJU,HAR,HAR,HAR,HEDDI,HEDDI,HEDDI,HAD,HARKU,HED,OSTOKHAN,USTUXON,HAD,KOCKE,OSKOR,KOKALO,,TOLAN,PESAQ,BUTUL,BUTO,BUKOG,,BALUN,TULANG,TOLAN,TULANG,TULAN,TULANG
RESPIRAR,RESPIRER,RESPIRARE,RESPIRAR,ALENAR,RESPIRA,RESPIRER,RESPIRAI,A RESPIRA,ATMEN,ADEMEN,ASEMHAAL,BREATHE,ANDA,PUSTE,ANDAS,ANDA,AANDE,ANALAT,ANADLU,ANAL DO THARRAINMGT,DISA,DIHAT,DISATI,DYSAT,DYXAC,VIDDYXATY,DYCHATI,DYCHAT,ODDYCHAC,KVEPUOTI,ELPOT,SUFLA LEL,HUSMA,SHAH HYONU,0,SAS PHERNU,SAS,SAGHINNEN,SA,SAS,SVAS,SWASLEWO,TANAFFUS KAVEL,NAFAS KASHIDAN,NAFAS KASIDAN,SAH ZIRAGH,MAR FRYME,SNJEL,ANAPNEO,,PENGINAWA,0,ARUP,HUMINGA,MOGINHAWA,,AMBEGAN,MANGKIHAN,BEREMBOK,NYEUNGHAP,BENAWA,BERNAPAS
ARDER,BRULER,ARDERE,ARDER,CREMAR,BRULA,ARDER,ABRUZAI,A ARDE,BRENNEN,BRANDEN,AANBRAND,BURN,BRENNA,BRENNE,BRANNA,BRENNA,BRAENDE,DEVIN,LLOSGI,DOGHADH,GORI,ZGORET,PALITI,GORET,PALIC,GORITY,HORETI,ZHORET,PALIC SIE,DEGTI,DEDZINAT,PABIAV,PICCENAWA,DAZUN,BALNU,JALNU,PORA,BHALAWEN,JELNA,JELNA,JELNE,BELWU,SVADZEDEL,SUKHTAN,SUXTAN,BALAGH,DIGEM,AYREL,KEO,,TOTON,SUNUG,TUTUD,MASUNOG,SUNUGON,,NOBON,MORBOR,NYEDUT,MEULEUM,TUNU,MEMBAKAR
MENINO,ENFANT,FANCIULLO,NINO,CRIATURA,ENFANT,INFAUNT,PIPPIU,COPIL,KIND,KIND,KIND,CHILD,BARN,BARN,BARN,BARN,BARN,BUGEL,PLENTYN,PAISTE,DETE,MLATOTROK,DETE,REBENOK,DZICE,DYTYNA,DITE,DIETA,DZIECKO,KUDIKIS,BERNS,CHAVO,LAMAYA,BOKUTU,BALAKHA,BALAKHA,BACCA,BECCA,BECCA,BECCA,MUL,CHOKRO,TIFL,BACHCHE,BACA,CHUKH,FOSNE,MANUK,PEDHI,,BATAQ,QISEQ,ANAK,ANAK,BATAE,,ANAK,PANAK,ANAK,BUDAK,ANAK,ANAK
NUVEM,NUAGE,NUVOLA,NUBE,NUVOL,NIVO,NUVLA,NUI,NOR,WOLKE,WOLK,WOLK,CLOUD,SKY,SKY,MOLN,SKYGGJ,SKY,KOUMOULENN,CWMWL,NEAL,OBLAK,OBLAK,OBLAK,TUCA,XMARA,XMARA,OBLAK,OBLAK,CHMURA,DEBESIS,MAKONIS,BULUTO,VALAKULA,OBUR,BADAL,BADAL,MEG,BEDDEL,BEDDEL,BADEL,DHEG,WADEL,TORA URIADZ,ABR,ABR,JH UR,RE,AMP,SIGHNEFO,,GABON,PANGANUD,PANANUD,ULAP,PANGANUD,,MEGA,GULEM,UKEP,MEGA,AWAN,AWAN
FRIO,FROID,FREDDO,FRIO,FRET,FRE,FRAID,FRIRU,RECE,KALT,KOUD,KOUD,COLD,KALDR,KALD,KALL,KALDUR,KOLD,YEN,OER,FUAR,STUDENO,MRAZ,HLADNO,XOLODNYJ,S CJUDZENA,ZYMNO,CHLADNY,STUDENY,ZIMNY,SALTAS,AUKSTS,SUDRO,SI TALA,SHITAL,JARO,THANDA,THANDA,THEND,THEND,THENDA,THEND,THENDI,SOR,SARD,XUNUK,SARTH,FTOTE,C URT,KRIOS,,MATENGAW,MANIKIQ,MARAMIG,MALAMIG,TUGNAW,,ADEM,DINGIN,NYET,TIIS,CELAP,DINGIN
VIR,VENIR,VENIRE,VENIR,VENIR,VENI,GNIR,BENNI,A VENI,KOMMEN,KOMEN,KOM,COME,KOMA,KOMME,KOMMA,KOMA,KOMME,DONT,DYFOD,TEACHT,IDVA,PRTDI,DOCI,PRIXODIT,PRYXODZIC,PRYXODYTY,PRIJITI,PRIST,PRZYCHODZIC,ATEITI,NAKT,AVAV,ANAWA,YUNU,ANU,AUNU,ASA,AWEN,ONA,ANA,YENE,AWEWU,RATLEL,AMADAN,OMADAN,AGH,VIN,GAL,ERKHOME,,DANON,0,BALIK,PUMUNTA,MOANHI,,TEKA,TEKU,DATEN,DATANG,DATAI,DATANG
CONTAR,COMPTER,CONTARE,CONTAR,CONTAR,COUMTA,DOMBRER,KONTAI,A NUMARA,ZAHLEN,REKENEN,TEL,COUNT,TELJA,TELLE,RAKNA,TELJA,TAELLE,KONTAN,RHIFO,COMHAIREAMH,BROI,STET,RACUNATI,SCITAT,LIZYC,RAXUBATY,POCITATI,POCITAT,LICZYC,SKAICIUOTI,SKAITIT,GINAVEL,GANAN,GANZARUN,GANNU,GANNU,GONA,GINNEN,GINENA,GINNA,MOJNE,GENEWU,SMEREL,SHOMORDAN,XISOB,GANNAGH,NEMERON,HAMREL,METRO,,BILAN,BILANG,MABILAN,MAGBILANG,IHAP,,NGTUN,NGETEK,NEREKEN,NGITUNG,ITON,MENGHITUNG
CORTAR,COUPER,TAGLIARE,CORTAR,TALLAR,COUPA,TAGLIER,SEGAI,A TAIA,SCHNEIDEN,SNIJDEN,SNY,CUT,SKERA,SKJAERE,SKARA,SKERA,SKAERE,TROCHAN,TORRI,GEARRADH,REZE,REZAT,SECI,REZAT,REZAC,RIZATY,REZATI,REZAT,CIAC,PIAUTI,GRIEZT,CINAV,KAPANAWA,TSATUN,KATNU,KATNU,KATA,KETTEN,KHETTENA,KATNA,KAPNE,KAPWU,PREKAVEL,BORIDAN,BURIDAN,CHAKAGH,PRES,KTREL,KOVO,,TITIG,KILAB,MANIGBAS,PUMUTOL,MOPUTOL,,NUGEL,NUGEL,MEMELEN,MOTONG,TETAK,MEMOTONG
DIA,JOUR,GIORNO,DIA,DIA,JOUR,DI,DI,ZI,TAG,DAG,DAG,DAY,DAGR,DAG,DAG,DAGUR,DAG,DEIZ,DYDD,LA,DEN,DAN,DAN,DEN,DZEN,DEN,DEN,DEN,DZIEN,DIENA,DIENA,GYES,DAVAL,DEN,DIUSO,DIN,DIN,DI,DIN,DIN,DIVES,DIWES,VRADZ,RUZ,RUZ,ROSH,DITE,OR,MERA,,ALONAN,QALLAW,SIRAN,ARAW,ADLAW,,DINA,DINA,JELO,POE,ARI,HARI
MORRER,MOURIR,MORIRE,MORIR,MORIRSE,MOURI,MORIR,MORRI,A MURI,STERBEN,STERVEN,STERF,DIE,DEYJA,DO,DO,DOYGGJA,DO,MERVEL,MARW,BAS D FHAGHAIL,UMRE,UMRT,UMRETI,UMIRAT,PAMIRAC,UMYRATY,ZEMRITI,UMIERAT,UMIERAC,MIRTI,MIRST,MERAV,MARENAWA,MARUN,MARNU,MARNU,MORA,MEREN,MERNA,MERNA,MERNE,MERWU,MREL,MORDAN,MURDAN,MIRAGH,VDES,MERNEL,PETHENO,,MATAY,PATAY,MATAY,MAMATAY,MAMATAY,,MATI,MATI,MATE,PAEH,MATI,MATI
CAVAR,CREUSER,SCAVARE,CAVAR,CAVAR,CAVA,CHAVER,SKAVAI,A SAPA,GRABEN,DELVEN,GRAAF,DIG,GRAFA,GRAVE,GRAVA,GRAVA,GRAVE,TOULLAN,PALU,ROMHAR,KOPAE,KOPAT,KOPATI,RYT,KAPAC,KOPATY,KOPATI,KOPAT,KOPAC,KASTI,RAKT,SKAVO,HARANAWA,KHANUN,KHANNU,KHANNU,KHODAI,KHODEN,KHODNA,KHODNA,KHENNE,KHODWU,KINEL,BILZADAN,KOFTAN,JANAGH,MIN,P OREL,SKAVO,,KALI,KUTKUT,MAGKUTKUT,MAGHUKAY,MOKALOT,,NDUDUK,MLUMBANG,NENALIQ,NGALI,KALI,MENGGALI
SUJO,SALE,SPORCO,SUCIO,BRUT,SALE,ASCHER,BRUTTU,MURDAR,SCHMUTZIG,VUIL,VUIL,DIRTY,SKITUGUR,SKIDDEN,SMUTSIG,SKITIN,BESKIDT,LOUS,BRWNT,SALACH,MRESNO,UMAZANU,PRLJAV,GRJAZNYJ,BRUDNY,BRUDNYJ,SPINAVY,BRUDNY,BRUDNY,NESVARUS,NETIRS,PISI,KILUTU,ACHOLU,PHORI,GUHE,MOELA,MAELA,MELLA,GENDA,GHAN,GENDU,CATAL,KASIF,CIRKIN,MELAR,FELIKUR,KELTOT,VROMIKOS,,MARIMOG,MARIPAQ,MAYAGTIN,MADUMI,HUGAW,,REGET,DAKI,KOTOR,KOTOR,KAMAH,KOTOR
CAO,CHIEN,CANE,PERRO,CA,CHIN,CHAUN,KANI,CIINE,HUND,HOND,HOND,DOG,HUNDR,HUND,HUND,HUNDUR,HUND,KI,CI,MADADH,KUCE,PAS,PAS,SOBAKA,SABAKA,SOBAKA,PES,PES,PIES,SUO,SUNS,JUKEL,BALLA,HUNU,KUKUR,KUKUR,KUKUR,KUTTA,KUTTA,KUTTA,KUTRA,KUTERO,SPAJ,SAG,SAG,BING,KEN,SUN,SKILI,,ASO,QIDUG,IDU,ASO,IROE,,ASU,CICING,BASON,ANJING,ASU,ANJING
BEBER,BOIRE,BERE,BEBER,BEURER,BEURE,BAIVER,BUFFAI,A BEA,TRINKEN,DRINKEN,DRINK,DRINK,DREKKA,DRIKKE,DRICKA,DREKKA,DRIKKE,EVAN,YFED,OL,PIE,PIT,PITI,PIT,PIC,PYTY,PITI,PIT,PIC,GERTI,DZERT,PEAV,BONAWA,CYONU,KHANU,PANI KHANU,KHAOA,PIWEN,PINA,PINA,PINE,PIWU,CSEL,NUSHIDAN,NUSIDAN,WARAGH,PI,EMPEL,PINO,,INOM,QINEM,UMINUM,UMINOM,MOINUM,,NOMBE,NGINEM,NINEM,NGINUM,IRUP,MINUM
SECCO,SEC,ASCIUTTO,SECO,SECH,SE,SECH,SIKKU,USCAT,TROCKEN,DROOG,DROOG,DRY,THURR,TORR,TORR,TURRUR,TOR,SECH,SYCH,TIRIM,SUXO,SUHO,SUV,SUXOJ,SUXI,SUXYJ,SUCHY,SUCHY,SUCHY,SAUSAS,SAUSS,SUKO,VELICCA,HOKHU,SUKYAKO,SUKO,SUKNO,SUKKA,SUKKA,SUKHA,SUKA,SUKU,VUC,KHOSHK,XUSK,HUSHK,I THAT,C OR,KSEROS,,MAGANO,BAQAS,UGA,TUYO,UGA,,GARIN,TUH,GORO,GARING,RANKAI,KERING
EMBOTADO,EMOUSSE,SMUSSATO,EMBOTADO,ROM,MOUTU,MUOT,SGURDU,TOCIT,STUMPF,STOMP,STOMP,DULL,BITLAUS,SLOV,OVASS,OHVASSUR,SLOV,DALL,DIFIN,MAOL,TEP,SKRHAN,TUP,TUPOJ,TUPY,TUPYJ,TUPY,TUPY,TEPY,BUKAS,NEASS,BIKUCIME,MOTTA,MONDU,0,BHUTTE,BHOTA,KHUNDA,KHUNDA,MUTHRA,BOTHET,BUTTNU,PEC,KOND,KYND,0,E PAPREHUR,BUT,DHEN GOVI,,TEPOL,MANGANGEL,DUMPUL,MAPUROL,HABUL,,KEUL,PUNTUL,KUDAL,MINTUL,TUMPUL,TUMPUL
PO,POUSSIERE,POLVERE,POLVO,POLS,POUSSO,PUOLVRA,PRUINI,PRAF,STAUB,STOF,STOF,DUST,RYK,STOV,STOFT,DUST,STOV,POULTRENN,LLWCH,DUSTA,PRAX,PRAH,PRASINA,PYL,PYL,POROX,PRACH,PRACH,KURZ,DULKES,PUTEKLI,SKONI,DUWILI,KHAKH,DHULO,KHAG,DHULA,MITTI,TUR,DHUL,DHUL,DHUL,GARZ,KHAK,CAND,DATO,PLUHUR,POSI,SKONI,,LOPAPEK,QABUG,GABUK,ALIKABOK,ABUG,,BLEDUG,BUK,KELEPUQ,PELEDUG,ABU,DEBU
ORELHA,OREILLE,ORECCHIO,OREJA,AURELLA,AURIHO,URAGLIA,URIGA,URECHE,OHR,OOR,OOR,EAR,EYRA,ORE,ORA,OYRA,ORE,SKOUARN,CLUST,CLUAS,UXO,USESU,UVO,UXO,VUXA,VUXO,UCHO,UCHO,UCHO,AUSIS,AUSS,KAN,KANA,KAN,KAN,KAN,KAN,KEN,KENN,KAN,KAN,KAN,GVAZ,GUSH,GUS,GOSH,VES,AKANJ,AFTI,,TANILA,TARINGA,TULI,TAINGA,DALUNGGAN,,KUPIN,KUPING,KENTOK,CEULI,PENDIN,TELINGA
TERRA,TERRE,TERRA,TIERRA,TERRA,TERRO,TERRA,TERRA,SOL,ERDE,AARDE,AARDE,EARTH,MOLD,JORD,JORD,MOLD,JORD,DOUAR,PRIDD,CRE,PREST,ZEMLA,ZEMLJA,ZEMLJA,HLEBA,ZEMLJA,PUDA,ZEM,ZIEMIA,ZEME,ZEME,POSU,PASA,METSU,MATO,MATO,MATI,ZEMIN,MITTI,MITTI,MATI,MATI,MDZEKA,ZAMIN,ZAMIN,MITTI,DHE,HOL,YI,,BOTEQ,LUPAQ,DAGA,LUPA,YUTA,,LEMAH,TANAH,TANAQ,TANEUH,TANAH,TANAH
COMER,MANGER,MANGIARE,COMER,MENJAR,MANJA,MANGER,PAPPAI,A MINCA,ESSEN,ETEN,EET,EAT,ETA,SPISE,ATA,ETA,SPISE,DEBRIN,BWYTA,ITHE,JADE,JEST,JESTI,EST,ESCI,JISTY,JISTI,JEST,JESC,VALGYTI,EST,XAV,KANAWA,KHYONU,KHANU,KHANU,KHAOA,KHAWEN,KHANA,KHANA,KHANE,KHAWU,XVAREL,KHORDAN,XURDAN,WARAGH,HA,UTEL,TROO,,KAN,KAQAN,KUMAUN,KUMAIN,MOKAON,,MANAN,DAAR,MANAN,DAHAR,MAKAI,MAKAN
OVO,OEUF,UOVO,HUEVO,OU,IOU,OV,OU,OU,EI,EI,EIER,EGG,EGG,EGG,AGG,EGG,AEG,VI,WY,UBH,JAJCE,JAJCE,JAJE,JAJCO,JAJKO,JAJCE,VEJCE,VAJCE,JAJKO,KIAUSINIS,OLA,ARNO,BITTARA,THUL,PHUL,PHUL,ANDA,ENDA,ANDA,ENDA,ENDE,INDU,HAGEJ,TOKHM,TUXM,HAIKH,KOKOVE,JU,AVGHO,,ORAK,QITLUG,ITLUG,ITLOG,ITLOG,,ENDOG,TALUH,TELOQ,ENDOG,TELU,TELUR
OLHO,OEIL,OCCHIO,OJO,ULL,UEI,OGL,OGU,OCHI,AUGE,OOG,OOG,EYE,AUGA,OYE,OGA,EYGA,OJE,LAGAD,LLYGAD,SUIL,OKO,OKO,OKO,GLAZ,VOKA,OKO,OKO,OKO,OKO,AKIS,ACS,YAK,ASA,ACHI,ANKHA,AKHO,COK,EKH,EKKH,AKH,DOLA,AKH,STERGA,CHASHM,CASM,CHHAM,SY,AC K,MATI,,MATA,MATA,MATA,MATA,MATA,,MATA,MATA,MATE,PANON,MATA,MATA
CAHIR,TOMBER,CADERE,CAER,CAURER,TOUMBA,CRUDER,ARRUI,A CADEA,FALLEN,VALLEN,VAL,FALL,FALLA,FALLE,FALLA,FALLA,FALDE,KOUEZHAN,CWYMPO,TUITIM,PADA,PADE,PASTI,PADAT,PADAC,PADATY,UPADNOUTI,PADAT,PADAC,PULTI,KRIST,PERAV,VITENAWA,PYONU,LOTNU,GIRNU,PORA,DHAWEN,DIGGENA,GIRNA,PEDNE,PERWU,LVEDEL,OFTADAN,AFTIDAN,KHAFAGH,BIE,ENKNEL,PEFTO,,OLOG,QURUG,RAGDAG,BUMAGSAK,MAHULOG,,TIBA,ULUNG,TERIQ,RAGRAG,LABOH,JATUH
